city_ascii,lat,lng,country,iso2,iso3,population
Malatya,38.3554,38.3337,Turkey,TR,TUR,461574
"Tel Aviv-Yafo",32.0833,34.8,Israel,IL,ISR,451523
"Ar Ramadi",33.4167,43.3,Iraq,IQ,IRQ,456853
Tanta,30.7833,31,Egypt,EG,EGY,429503
Balashikha,55.8,37.95,Russia,RU,RUS,450771
Kursk,51.7372,36.1872,Russia,RU,RUS,449063
Mariupol,47.1306,37.5639,Ukraine,UA,UKR,449498
Batman,37.8833,41.1333,Turkey,TR,TUR,447106
Kahramanmaras,37.5875,36.9453,Turkey,TR,TUR,443575
"Al Mansurah",31.05,31.3833,Egypt,EG,EGY,439348
Stavropol,45.05,41.9833,Russia,RU,RUS,433577
Zanjan,36.6667,48.4833,Iran,IR,IRN,433475
"Khamis Mushayt",18.3,42.7333,"Saudi Arabia",SA,SAU,430828
Sevastopol,44.6,33.5333,Ukraine,UA,UKR,428753
Tver,56.8578,35.9219,Russia,RU,RUS,419363
Elazig,38.6667,39.2167,Turkey,TR,TUR,421726
Luhansk,48.5833,39.3333,Ukraine,UA,UKR,417990
"El Obeid",13.1833,30.2167,Sudan,SD,SDN,418280
Sochi,43.5853,39.7203,Russia,RU,RUS,411524
Ivanovo,57,41,Russia,RU,RUS,406933
Bryansk,53.25,34.3667,Russia,RU,RUS,406553
Asyut,27.1869,31.1714,Egypt,EG,EGY,389307
Belgorod,50.6,36.6,Russia,RU,RUS,391135
"Ad Diwaniyah",31.9892,44.9247,Iraq,IQ,IRQ,391600
Ha'il,27.5236,41.7001,"Saudi Arabia",SA,SAU,385257
Qazvin,36.2688,50.0041,Iran,IR,IRN,381598
Hatay,36.2,36.15,Turkey,TR,TUR,377793
Sivas,39.75,37.0167,Turkey,TR,TUR,377561
Vinnytsia,49.2372,28.4672,Ukraine,UA,UKR,371855
Sanandaj,35.3097,46.9989,Iran,IR,IRN,373987
Varna,43.2078,27.9169,Bulgaria,BG,BGR,369162
"Az Zubayr",30.3892,47.7081,Iraq,IQ,IRQ,370000
"Al Qatif",26.5196,50.0115,"Saudi Arabia",SA,SAU,368892
Vitsyebsk,55.1833,30.1667,Belarus,BY,BLR,364800
Kocaeli,40.7656,29.9406,Turkey,TR,TUR,363416
Gedaref,14.0333,35.3833,Sudan,SD,SDN,354927
Mahilyow,53.9089,30.343,Belarus,BY,BLR,357100
Vladimir,56.1333,40.4167,Russia,RU,RUS,356168
Van,38.5019,43.4167,Turkey,TR,TUR,353419
Arkhangelsk,64.55,40.5333,Russia,RU,RUS,351488
Khorramabad,33.4667,48.35,Iran,IR,IRN,348216
Makiivka,48.0556,37.9611,Ukraine,UA,UKR,347376
Sumqayit,40.5917,49.6397,Azerbaijan,AZ,AZE,341200
Kusti,13.17,32.66,Sudan,SD,SDN,345068
"Al `Amarah",31.8416,47.1512,Iraq,IQ,IRQ,345007
Simferopol,44.9484,34.1,Ukraine,UA,UKR,341799
Kaluga,54.5333,36.2667,Russia,RU,RUS,341892
Tarsus,36.9167,34.9,Turkey,TR,TUR,339676
"Wad Medani",14.4,33.51,Sudan,SD,SDN,332714
Ganca,40.6828,46.3606,Azerbaijan,AZ,AZE,331400
"Al Fayyum",29.3,30.8333,Egypt,EG,EGY,315940
Balikesir,39.6511,27.8842,Turkey,TR,TUR,331788
"Az Zaqaziq",30.5667,31.5,Egypt,EG,EGY,302840
Smolensk,54.7828,32.0453,Russia,RU,RUS,329853
Dahuk,36.85,42.9833,Iraq,IQ,IRQ,330600
Volzhskiy,48.7833,44.7667,Russia,RU,RUS,326055
"Al Fallujah",33.35,43.7833,Iraq,IQ,IRQ,326471
Gonder,12.6,37.4667,Ethiopia,ET,ETH,323900
Mekele,13.4833,39.4667,Ethiopia,ET,ETH,323700
"Al Kut",32.4907,45.8304,Iraq,IQ,IRQ,321521
Cherepovets,59.1333,37.9167,Russia,RU,RUS,318856
Poltava,49.5744,34.5686,Ukraine,UA,UKR,317847
Vologda,59.2167,39.9,Russia,RU,RUS,313012
Saransk,54.1833,45.1833,Russia,RU,RUS,314789
Bor,6.2167,31.55,"South Sudan",SS,SSD,315351
Orel,52.9686,36.0694,Russia,RU,RUS,311625
"Shahr-e Qods",35.7214,51.1089,Iran,IR,IRN,309605
Hamah,35.1333,36.75,Syria,SY,SYR,312994
Alanya,36.5436,31.9997,Turkey,TR,TUR,312319
Shahriar,35.6597,51.0592,Iran,IR,IRN,309607
Vladikavkaz,43.0167,44.65,Russia,RU,RUS,306978
Podolsk,55.4297,37.5444,Russia,RU,RUS,299660
Adiyaman,37.7644,38.2763,Turkey,TR,TUR,304615
Awasa,7.05,38.4667,Ethiopia,ET,ETH,300100
Murmansk,68.9667,33.0833,Russia,RU,RUS,298096
Afyonkarahisar,38.7581,30.5386,Turkey,TR,TUR,299673
Iskenderun,36.5804,36.17,Turkey,TR,TUR,297943
"Al Mubarraz",25.4416,49.6642,"Saudi Arabia",SA,SAU,298562
"Al Kharj",24.1556,47.312,"Saudi Arabia",SA,SAU,298428
Najran,17.4917,44.1322,"Saudi Arabia",SA,SAU,298288
Chernihiv,51.5,31.3,Ukraine,UA,UKR,294522
Aksaray,38.3686,34.0297,Turkey,TR,TUR,295351
Corum,40.5489,34.9533,Turkey,TR,TUR,294807
Ismailia,30.5833,32.2667,Egypt,EG,EGY,293184
Tambov,52.7167,41.4333,Russia,RU,RUS,290365
Iasi,47.1622,27.5889,Romania,RO,ROU,290422
Kherson,46.6333,32.6,Ukraine,UA,UKR,291428
Groznyy,43.3125,45.6986,Russia,RU,RUS,291687
Constanta,44.1733,28.6383,Romania,RO,ROU,283872
Haifa,32.8,34.9833,Israel,IL,ISR,281087
Malard,35.6658,50.9767,Iran,IR,IRN,281027
Petrozavodsk,61.7833,34.35,Russia,RU,RUS,278551
Cherkasy,49.4444,32.0597,Ukraine,UA,UKR,276360
Kostroma,57.7667,40.9333,Russia,RU,RUS,277648
"Dire Dawa",9.5833,41.8667,Ethiopia,ET,ETH,277000
Khmelnytskyi,49.42,27,Ukraine,UA,UKR,274176
"Kafr ad Dawwar",31.1417,30.1272,Egypt,EG,EGY,262748
Novorossiysk,44.7167,37.7667,Russia,RU,RUS,270774
Zhytomyr,50.2544,28.6578,Ukraine,UA,UKR,266936
Yoshkar-Ola,56.6328,47.8958,Russia,RU,RUS,266675
Nalchik,43.4833,43.6167,Russia,RU,RUS,265162
Aswan,24.0889,32.8997,Egypt,EG,EGY,267913
Inegol,40.0806,29.5097,Turkey,TR,TUR,268155
Yanbu`,24.0943,38.0493,"Saudi Arabia",SA,SAU,267590
Sumy,50.9068,34.7992,Ukraine,UA,UKR,265758
Kutahya,39.4242,29.9833,Turkey,TR,TUR,266784
Dezful,32.3878,48.4033,Iran,IR,IRN,264709
Osmaniye,37.075,36.25,Turkey,TR,TUR,264373
Corlu,41.1597,27.8028,Turkey,TR,TUR,262862
Damanhur,31.05,30.4667,Egypt,EG,EGY,244043
Sakarya,40.7778,30.4028,Turkey,TR,TUR,260109
Isparta,37.7667,30.55,Turkey,TR,TUR,258375
Horlivka,48.3336,38.0925,Ukraine,UA,UKR,256714
"Rishon LeZiyyon",31.95,34.8,Israel,IL,ISR,249860
Arua,3.03,30.91,Uganda,UG,UGA,250000
Taganrog,47.2333,38.9,Russia,RU,RUS,250287
Kiziltepe,37.1939,40.5861,Turkey,TR,TUR,252656
Usak,38.6833,29.4,Turkey,TR,TUR,252044
Galati,45.4233,28.0425,Romania,RO,ROU,249432
Rivne,50.6197,26.2514,Ukraine,UA,UKR,245630
"Al Minya",28.0833,30.75,Egypt,EG,EGY,236043
"Hafr al Batin",28.4337,45.9601,"Saudi Arabia",SA,SAU,249194
Bukan,36.5208,46.2117,Iran,IR,IRN,248900
Syktyvkar,61.6667,50.8167,Russia,RU,RUS,245313
Khimki,55.8892,37.445,Russia,RU,RUS,244668
"Bahir Dar",11.585,37.39,Ethiopia,ET,ETH,243300
Manisa,38.6131,27.4258,Turkey,TR,TUR,243971
"Petah Tiqwa",32.0833,34.8833,Israel,IL,ISR,236169
Duzce,40.8417,31.1583,Turkey,TR,TUR,240633
Limassol,34.675,33.0443,Cyprus,CY,CYP,235056
"Al Jubayl",27.0046,49.646,"Saudi Arabia",SA,SAU,237274
Shakhty,47.7,40.2333,Russia,RU,RUS,235492
Kremenchuk,49.0775,33.4239,Ukraine,UA,UKR,234073
Abha,18.2167,42.5,"Saudi Arabia",SA,SAU,236157
Ibb,13.9759,44.1709,Yemen,YE,YEM,234837
Kamianske,48.5076,34.6132,Ukraine,UA,UKR,235066
Borujerd,33.8972,48.7514,Iran,IR,IRN,234997
Dzerzhinsk,56.2333,43.45,Russia,RU,RUS,231797
Madan,30.3392,48.3042,Iran,IR,IRN,231476
Ibb,13.9667,44.1667,Yemen,YE,YEM,225611
Kropyvnytskyi,48.5103,32.2667,Ukraine,UA,UKR,227413
Kolpino,59.73,30.65,Russia,RU,RUS,225801
Burgas,42.5,27.4667,Bulgaria,BG,BGR,226868
Engels,51.4667,46.1167,Russia,RU,RUS,225752
Korolev,55.9167,37.8167,Russia,RU,RUS,221797
"Velikiy Novgorod",58.521,31.2758,Russia,RU,RUS,222594
Ashdod,31.7978,34.6503,Israel,IL,ISR,220174
Nigde,37.9667,34.6792,Turkey,TR,TUR,224289
"Staryy Oskol",51.2981,37.835,Russia,RU,RUS,223360
Sidon,33.5606,35.3981,Lebanon,LB,LBN,200000
Saveh,35.0211,50.3564,Iran,IR,IRN,220762
"Al Khubar",26.3,50.2167,"Saudi Arabia",SA,SAU,219679
Damietta,31.4167,31.8167,Egypt,EG,EGY,206664
Netanya,32.3328,34.86,Israel,IL,ISR,217244
"As Samawah",31.3167,45.2833,Iraq,IQ,IRQ,215000
Babruysk,53.15,29.2333,Belarus,BY,BLR,212200
Pskov,57.8167,28.3333,Russia,RU,RUS,209840
"Bila Tserkva",49.7956,30.1167,Ukraine,UA,UKR,208944
"Dayr az Zawr",35.3333,40.15,Syria,SY,SYR,211857
Beersheba,31.2589,34.7978,Israel,IL,ISR,209000
"Nasim Shahr",35.5644,51.1647,Iran,IR,IRN,200393
Qina,26.1667,32.7167,Egypt,EG,EGY,201191
"Bani Suwayf",29.0667,31.0833,Egypt,EG,EGY,193048
Mytishchi,55.9167,37.7333,Russia,RU,RUS,205397
Bolu,40.7333,31.6,Turkey,TR,TUR,205525
"Bene Beraq",32.0807,34.8338,Israel,IL,ISR,193774
Luxor,25.6969,32.6422,Egypt,EG,EGY,202232
Lyubertsy,55.6814,37.8939,Russia,RU,RUS,197705
Tokat,40.3097,36.5542,Turkey,TR,TUR,201294
Holon,32.0167,34.7667,Israel,IL,ISR,188834
Suhaj,26.5606,31.6917,Egypt,EG,EGY,193931
Kirikkale,39.8417,33.5139,Turkey,TR,TUR,196645
"Ar Raqqah",35.95,39.0167,Syria,SY,SYR,196529
Viransehir,37.2306,39.7653,Turkey,TR,TUR,195910
"Bandar-e Bushehr",28.9667,50.8333,Iran,IR,IRN,195222
Dese,11.1333,39.6333,Ethiopia,ET,ETH,187900
"Al Jahra'",29.3375,47.6581,Kuwait,KW,KWT,194193
Karaman,37.1833,33.2167,Turkey,TR,TUR,194018
Mus,38.7333,41.4911,Turkey,TR,TUR,193394
Aydin,37.8481,27.8453,Turkey,TR,TUR,191037
"Shibin al Kawm",30.592,30.9,Egypt,EG,EGY,182900
Armavir,45,41.1167,Russia,RU,RUS,190709
Balakovo,52.039,47.7839,Russia,RU,RUS,191260
Rybinsk,58.05,38.8333,Russia,RU,RUS,190429
"Al Hasakah",36.5117,40.7422,Syria,SY,SYR,188160
Shendi,16.6805,33.42,Sudan,SD,SDN,186611
"Ed Damazin",11.7704,34.35,Sudan,SD,SDN,186051
Yei,4.0904,30.68,"South Sudan",SS,SSD,185000
"Al Qamishli",37.05,41.2167,Syria,SY,SYR,184231
Fardis,35.7247,50.9883,Iran,IR,IRN,181174
Severodvinsk,64.5667,39.85,Russia,RU,RUS,183996
Aqtau,43.65,51.15,Kazakhstan,KZ,KAZ,183350
Braila,45.2692,27.9575,Romania,RO,ROU,180302
Khowy,38.5503,44.9519,Iran,IR,IRN,182000
Jima,7.6667,36.8333,Ethiopia,ET,ETH,177900
Canakkale,40.15,26.4,Turkey,TR,TUR,180823
Edirne,41.6781,26.5594,Turkey,TR,TUR,180327
"Al `Arish",31.1249,33.8006,Egypt,EG,EGY,178651
Torbali,38.1619,27.3583,Turkey,TR,TUR,178772
Kadugli,11.01,29.7,Sudan,SD,SDN,176931
Eregli,41.2583,31.425,Turkey,TR,TUR,175605
Harar,9.32,42.15,Ethiopia,ET,ETH,174994
Tyre,33.2667,35.2,Lebanon,LB,LBN,160000
Maragheh,37.3833,46.2667,Iran,IR,IRN,175255
Menemen,38.6,27.0667,Turkey,TR,TUR,174564
Syzran,53.1667,48.4667,Russia,RU,RUS,173260
Banha,30.4628,31.1797,Egypt,EG,EGY,157701
Krasnogorsk,55.8167,37.3333,Russia,RU,RUS,171793
Volgodonsk,47.5167,42.15,Russia,RU,RUS,171471
Malayer,34.2942,48.82,Iran,IR,IRN,170237
Novocherkassk,47.4222,40.0939,Russia,RU,RUS,168766
`Ar`ar,30.9833,41.0167,"Saudi Arabia",SA,SAU,167057
"Al Kufah",32.03,44.4,Iraq,IQ,IRQ,166100
Siirt,37.8417,41.9458,Turkey,TR,TUR,166332
Korfez,40.7706,29.7661,Turkey,TR,TUR,165503
Idlib,35.9333,36.6333,Syria,SY,SYR,165000
Saqqez,36.2497,46.2733,Iran,IR,IRN,165258
"Ramat Gan",32.0833,34.8167,Israel,IL,ISR,152596
`Unayzah,26.084,43.994,"Saudi Arabia",SA,SAU,163729
Turgutlu,38.5,27.7,Turkey,TR,TUR,163223
Wau,7.7,27.9833,"South Sudan",SS,SSD,163442
Golcuk,40.6667,29.8333,Turkey,TR,TUR,162584
"Bandar-e Mahshahr",30.5589,49.1981,Iran,IR,IRN,162797
Mahabad,36.7704,45.72,Iran,IR,IRN,162434
"Ash Shatrah",31.4175,46.1772,Iraq,IQ,IRQ,161949
"Al Ghardaqah",27.2578,33.8117,Egypt,EG,EGY,160901
Salihli,38.4811,28.1392,Turkey,TR,TUR,161562
Elektrostal,55.8,38.45,Russia,RU,RUS,158508
Dhamar,14.55,44.4017,Yemen,YE,YEM,160114
Bingol,38.8861,40.5017,Turkey,TR,TUR,160165
Tiraspol,46.8319,29.5767,Moldova,MD,MDA,157000
"Shahr-e Kord",32.3256,50.8644,Iran,IR,IRN,159775
Talas,38.6833,35.5667,Turkey,TR,TUR,157695
Jijiga,9.35,42.8,Ethiopia,ET,ETH,159300
Kramatorsk,48.7208,37.5556,Ukraine,UA,UKR,159445
Fethiye,36.6206,29.1142,Turkey,TR,TUR,157745
Erzincan,39.7464,39.4914,Turkey,TR,TUR,157452
Zonguldak,41.4304,31.78,Turkey,TR,TUR,156918
Isiro,2.7833,27.6167,"Congo (Kinshasa)",CD,COD,157196
Batumi,41.6458,41.6417,Georgia,GE,GEO,154600
Nazilli,37.9125,28.3206,Turkey,TR,TUR,156748
Ordu,40.9833,37.8833,Turkey,TR,TUR,155117
"Horad Barysaw",54.226,28.4922,Belarus,BY,BLR,155389
Bartin,41.6344,32.3375,Turkey,TR,TUR,155016
Melitopol',46.8333,35.3667,Ukraine,UA,UKR,154992
Bandirma,40.3542,27.9725,Turkey,TR,TUR,154359
"Kafr ash Shaykh",31.1,30.95,Egypt,EG,EGY,147393
Kirsehir,39.145,34.1608,Turkey,TR,TUR,153511
Sievierodonetsk,48.95,38.4833,Ukraine,UA,UKR,150000
Golmeh,33.6304,46.43,Iran,IR,IRN,152894
Zabid,14.1951,43.3155,Yemen,YE,YEM,152504
"Al Manaqil",14.2504,32.98,Sudan,SD,SDN,151827
Kerch,45.3386,36.4681,Ukraine,UA,UKR,149566
Gulu,2.7667,32.3056,Uganda,UG,UGA,146858
Keren,15.6804,38.45,Eritrea,ER,ERI,150000
Kutaisi,42.25,42.7,Georgia,GE,GEO,147900
Mallawi,27.7306,30.8425,Egypt,EG,EGY,139929
Agri,39.7225,43.0544,Turkey,TR,TUR,149188
Amasya,40.65,35.8333,Turkey,TR,TUR,149084
Kastamonu,41.3833,33.7833,Turkey,TR,TUR,148931
Luleburgaz,41.4056,27.3569,Turkey,TR,TUR,148037
"Al Hawiyah",21.4411,40.4975,"Saudi Arabia",SA,SAU,148151
Disuq,31.1308,30.6479,Egypt,EG,EGY,143404
Mangghystau,43.6905,51.1417,Kazakhstan,KZ,KAZ,147443
Malakal,9.5333,31.65,"South Sudan",SS,SSD,147450
Bacau,46.5833,26.9167,Romania,RO,ROU,144307
Pyatigorsk,44.0333,43.05,Russia,RU,RUS,145836
Dar`a,32.625,36.105,Syria,SY,SYR,146481
Wamba,2.1404,27.99,"Congo (Kinshasa)",CD,COD,146871
Balti,47.7617,27.9289,Moldova,MD,MDA,144800
Kolomna,55.0833,38.7833,Russia,RU,RUS,144125
Eregli,37.5058,34.0517,Turkey,TR,TUR,145389
Yalova,40.6556,29.275,Turkey,TR,TUR,144407
"Al Mukalla",14.5333,49.1333,Yemen,YE,YEM,144137
Khasavyurt,43.25,46.5833,Russia,RU,RUS,141259
Nevsehir,38.625,34.7122,Turkey,TR,TUR,143194
Bilbays,30.4167,31.5667,Egypt,EG,EGY,141285
Cizre,37.325,42.1958,Turkey,TR,TUR,143124
Nizip,37.0104,37.7985,Turkey,TR,TUR,142389
Maykop,44.6,40.0833,Russia,RU,RUS,141970
Kamalshahr,35.8622,50.8717,Iran,IR,IRN,141166
Rize,41.0167,40.5167,Turkey,TR,TUR,141143
Kovrov,56.3606,41.3197,Russia,RU,RUS,138552
Odintsovo,55.6733,37.2733,Russia,RU,RUS,140537
Samarra',34.1959,43.8857,Iraq,IQ,IRQ,140400
"Al `Aqabah",29.5167,35,Jordan,JO,JOR,140000
Atbara,17.7167,33.9833,Sudan,SD,SDN,139768
Dhahran,26.2667,50.15,"Saudi Arabia",SA,SAU,138135
Piranshahr,36.6944,45.1417,Iran,IR,IRN,138864
"Bat Yam",32.0231,34.7503,Israel,IL,ISR,128800
Igdir,39.9167,44.0333,Turkey,TR,TUR,137613
Lira,2.2604,32.89,Uganda,UG,UGA,135445
Marivan,35.5269,46.1761,Iran,IR,IRN,136654
Giresun,40.9,38.4167,Turkey,TR,TUR,135920
Zakhu,37.1436,42.6819,Iraq,IQ,IRQ,134863
Andimeshk,32.45,48.35,Iran,IR,IRN,135116
Ashqelon,31.6658,34.5664,Israel,IL,ISR,134454
Rehovot,31.8914,34.8078,Israel,IL,ISR,132671
Idfu,24.9781,32.8789,Egypt,EG,EGY,133772
Khorramshahr,30.4333,48.1833,Iran,IR,IRN,133097
Odemis,38.2311,27.9719,Turkey,TR,TUR,132511
Karabuk,41.2,32.6333,Turkey,TR,TUR,131989
Kislovodsk,43.91,42.72,Russia,RU,RUS,129593
Marand,38.4167,45.7667,Iran,IR,IRN,130825
Kozan,37.4507,35.8123,Turkey,TR,TUR,130495
Cayirova,40.8265,29.3745,Turkey,TR,TUR,129655
Sannar,13.55,33.6,Sudan,SD,SDN,130122
Baidoa,3.1167,43.65,Somalia,SO,SOM,129839
Jaramana,33.4833,36.35,Syria,SY,SYR,114363
Serpukhov,54.9167,37.4,Russia,RU,RUS,125817
Novocheboksarsk,56.1167,47.5,Russia,RU,RUS,126626
"Mit Ghamr",30.7192,31.2628,Egypt,EG,EGY,121039
Bataysk,47.1333,39.75,Russia,RU,RUS,126769
Sakaka,30,40.1333,"Saudi Arabia",SA,SAU,128332
Domodedovo,55.4333,37.75,Russia,RU,RUS,127850
Jazan,16.8892,42.5611,"Saudi Arabia",SA,SAU,127743
Rustavi,41.5333,45,Georgia,GE,GEO,125103
Unye,41.1271,37.2882,Turkey,TR,TUR,126702
Shashemene,7.2004,38.59,Ethiopia,ET,ETH,114350
Shchelkovo,55.9167,38,Russia,RU,RUS,125634
